date,etf,short_score,short_annret,short_r2,short_dip,long_score,long_annret,long_r2,long_dip
20250529,501018.SH,-0.1611250050455875,-0.26772412967537984,0.6018322115416133,0.9938542581211588,-0.02461812335483369,-0.08217887705825822,0.29956753165879135,0.9938542581211588
20250530,501018.SH,-0.15987448431532306,-0.2665507004753679,0.5997901488542408,0.9852302345786271,-0.024987165104503148,-0.08278664620858744,0.3018260341353366,0.9852302345786271
20250603,501018.SH,-0.11324539603101931,-0.22127590131125285,0.5117836843503585,0.9852302345786271,-0.025363613203365262,-0.08335314722988241,0.3042910081537067,0.9852302345786271
20250604,501018.SH,-0.07920716065435698,-0.19281459134989876,0.4107944326195756,0.9852302345786271,-0.025819977061794955,-0.08401126475344212,0.3073394637918132,0.9852302345786271
20250605,501018.SH,-0.05883248843647257,-0.16913341450135078,0.34784663107479985,0.9939183318853172,-0.026599307422020515,-0.08509293548092489,0.3125912541586161,0.9939183318853172
20250606,501018.SH,-0.034396868218690826,-0.13803317741994825,0.24919275830362697,0.9939183318853172,-0.027378784987930855,-0.08612758912619645,0.3178863505376277,0.9939183318853172
20250609,501018.SH,-0.011944384573575868,-0.10187579039174033,0.11724458311092789,0.9939183318853172,-0.027770887847457574,-0.08663503914257653,0.3205503006901702,0.9939183318853172
20250610,501018.SH,-0.0017053083955852345,-0.05788692008795637,0.02945930432978816,1.0052447552447552,-0.027902350217632734,-0.08680393820266374,0.3214410635665894,1.0052447552447552
20250611,501018.SH,-4.017272836651558e-05,-0.017473909925329822,0.002299011986337529,0.9965957446808511,-0.027945312056458803,-0.08686098411533849,0.3217245618510559,0.9965957446808511
20250612,501018.SH,0.006007369066683352,0.11673484928271072,0.05146165950953163,0.9965957446808511,-0.02764827126128754,-0.08651256707687482,0.31958676288867216,0.9965957446808511
20250613,501018.SH,0.07685841880324679,0.4289533224386475,0.17917664879315565,0.9965957446808511,-0.026229533643074707,-0.08505940480562191,0.3083672370270465,0.9965957446808511
20250616,501018.SH,0.26914181356929257,0.8773316826018243,0.30677316105936436,1.0148902821316614,-0.024603477138321245,-0.08340230187229547,0.29499757903557355,1.0148902821316614
20250617,501018.SH,0.6092820959776261,1.3912632546864971,0.43793444118160063,0.98996138996139,-0.02367534261462974,-0.08244438806874066,0.2871674248450927,0.98996138996139
20250618,501018.SH,1.163318585422812,2.158071338200355,0.5390547406059891,0.98996138996139,-0.0220501431974242,-0.0807987764526471,0.27290194437965154,0.98996138996139
20250619,501018.SH,2.3481890458026577,3.996025258567581,0.587631181952136,0.98996138996139,-0.018352564539013107,-0.07720859370969746,0.23770105965170574,0.98996138996139
20250620,501018.SH,3.2821908494134906,5.07698869791751,0.6464837809782376,0.9299097848716168,-0.01672599823601006,-0.0752026306818222,0.22241240877299562,0.9299097848716168
20250623,501018.SH,5.18002514282479,7.465276298760605,0.6938825752082055,0.9299097848716168,-0.013671966716411093,-0.07133919871472405,0.19164732661328965,0.9299097848716168
20250624,501018.SH,5.571924504193111,7.841835136391719,0.7105383379376851,0.8999305072967337,-0.012690604391889536,-0.06968888892341596,0.1821036981352332,0.8999305072967337
20250625,501018.SH,4.846339547073242,7.189845449284617,0.6740533689156627,0.8999305072967337,-0.0124259962242087,-0.06920090891570607,0.17956406091927002,0.8999305072967337
20250626,501018.SH,4.116133650219259,6.5214969527657995,0.6311639306177375,0.8999305072967337,-0.012206765711122882,-0.06878324543240066,0.17746713802737824,0.8999305072967337
20250627,501018.SH,3.1553915375239296,5.56786027518356,0.5667152876640575,0.9575289575289576,-0.012026061966664914,-0.06843328379570301,0.17573410626570052,0.9575289575289576
20250630,501018.SH,2.2338200687290937,4.5731778540571355,0.48846122762256894,0.9918500407497961,-0.01177712235393503,-0.06792500310689464,0.17338420044532332,0.9918500407497961
20250701,501018.SH,1.4411302821692984,3.59978045688129,0.4003383815850363,0.9918500407497961,-0.011503626405284033,-0.0673437265218566,0.17081956997955106,0.9918500407497961
20250702,501018.SH,0.8161598030922284,2.6805648443787025,0.30447306835488874,0.9918500407497961,-0.011246438910095158,-0.06677676858070136,0.16841843576937332,0.9918500407497961
20250703,501018.SH,0.4159802780703228,1.9144092750622357,0.2172891050461504,0.9933884297520661,-0.010852241293307365,-0.06589204903850332,0.16469728065317824,0.9933884297520661
20250704,501018.SH,0.19528070347615156,1.352576153784494,0.14437686405290984,0.9933884297520661,-0.010565790727528822,-0.06524033115335592,0.1619518255156086,0.9933884297520661
20250707,501018.SH,0.05540757771295304,0.7859778796022303,0.0704950853591374,0.9933609958506224,-0.010248606373386367,-0.06448202836467387,0.15893740679846557,0.9933609958506224
20250708,501018.SH,0.012117181661458082,0.42938261077788353,0.028220010213050317,0.9933609958506224,-0.009796911752387743,-0.06340784427805857,0.1545063053937923,0.9933609958506224
20250709,501018.SH,0.0008732321605768604,0.16312407556937258,0.005353177681031496,0.9933609958506224,-0.009325880542740436,-0.0622888720645437,0.1497198493669457,0.9933609958506224
20250710,501018.SH,-9.464449610063358e-05,-0.07026599578110981,0.0013469459167058107,1.0040816326530613,-0.008667032247109666,-0.06061889820815436,0.14297574689247305,1.0040816326530613
20250711,501018.SH,-0.008072528779154759,-0.2781949002145693,0.02901752969924498,0.9878048780487804,-0.008155085654884599,-0.059242086585010845,0.1376569618827025,0.9878048780487804
20250714,501018.SH,-0.03204220608693611,-0.40621433165572884,0.07888004826499384,0.9878048780487804,-0.007446556237181797,-0.05726073592156988,0.13004646407935372,0.9878048780487804
20250715,501018.SH,-0.08961400903348445,-0.5274173001005342,0.16991101546423026,0.9821573398215734,-0.0069009683272381085,-0.05559861985791481,0.12412121640562113,0.9821573398215734
20250716,501018.SH,-0.19380379684445512,-0.6263990371447674,0.3093935101302926,0.9821573398215734,-0.006369619995900689,-0.0539246400173069,0.11812076990882803,0.9821573398215734
20250717,501018.SH,-0.2930774141091477,-0.6848753758990352,0.42792809381476926,0.9821573398215734,-0.0058344850267929285,-0.05213121780476215,0.11191921601839028,0.9821573398215734
20250718,501018.SH,-0.28988003197217815,-0.6831228439260078,0.4243453934378696,0.9983539094650203,-0.005243947972209454,-0.0501140130223382,0.10464035218795942,0.9983539094650203
20250721,501018.SH,-0.27392699572925466,-0.6733754475612632,0.4067968274182331,0.9918896999188969,-0.004773333350128022,-0.04840014626863631,0.09862229183429516,0.9918896999188969
20250722,501018.SH,-0.27142795313053036,-0.6718284152363067,0.4040138031897017,0.9918896999188969,-0.004431954383174358,-0.04710995732818557,0.09407680742098123,0.9918896999188969
20250723,501018.SH,-0.22925652751739622,-0.6403688028179682,0.3580070211236772,0.9918896999188969,-0.004018161446285661,-0.045421820961692116,0.08846323994087557,0.9918896999188969
20250724,501018.SH,-0.12832953166023758,-0.49666763646576473,0.258381102850625,0.9950940310711366,-0.0035778441690556295,-0.0435137205042575,0.08222335685374371,0.9950940310711366
20250725,501018.SH,-0.06168142384876446,-0.38581250387591537,0.1598740922834434,1.0,-0.0031855239339994433,-0.041732587689468525,0.07633180951305663,1.0
20250728,501018.SH,-0.006125050049565696,-0.11165275269015429,0.05485802993646938,0.9894394800974818,-0.002889227600951507,-0.04028381333432174,0.07172179994414507,0.9894394800974818
20250729,501018.SH,0.0009308898681005835,0.044606894003210495,0.02086874437017705,0.9894394800974818,-0.002573206405382952,-0.03866278616743135,0.06655512083996062,0.9894394800974818
20250730,501018.SH,0.04164815882161442,0.20242975536621022,0.20574128910184108,0.9894394800974818,-0.0020673743409030565,-0.03583340703276483,0.05769404899212405,0.9894394800974818
20250731,501018.SH,0.1347296452532585,0.36209712921038295,0.37208150627170233,1.0031421838177534,-0.0016632584163512691,-0.0332837594052775,0.049972071847374955,1.0031421838177534
20250801,501018.SH,0.25345874419192865,0.4978225996492285,0.5091346683949636,0.9937353171495691,-0.0013562670694632264,-0.03106394868095108,0.04366048512998322,0.9937353171495691
20250804,501018.SH,0.28277079101024083,0.5228445583242622,0.5408314699048079,0.9779353821907013,-0.0011623659155422547,-0.02945988478064976,0.0394558880388336,0.9779353821907013
20250805,501018.SH,0.23597334022491293,0.48389345094257785,0.48765557741122467,0.9779353821907013,-0.0010404968671549014,-0.028362006752241653,0.03668629220224917,0.9779353821907013
20250806,501018.SH,0.1786889079442829,0.42613213126612903,0.4193274687204652,0.9779353821907013,-0.000941694278261848,-0.027418535215857576,0.03434517091625,0.9779353821907013
20250807,501018.SH,0.1400224048015915,0.3845655249172537,0.36410545337291966,0.9895245769540694,-0.0008209059719364904,-0.02615703025015792,0.031383760468432165,0.9895245769540694
20250808,501018.SH,0.08931467796225728,0.3187268626714732,0.2802232520147451,0.997560975609756,-0.0007295922344752269,-0.02512529475399916,0.029038156233335277,0.997560975609756
20250811,501018.SH,0.04416567016822092,0.23562067774546658,0.1874439484293975,0.997560975609756,-0.0006716967288106416,-0.02443640105990974,0.027487547252308953,0.997560975609756
20250812,501018.SH,0.029779036278834936,0.20220910733250852,0.14726852154026326,0.997560975609756,-0.0005847260059756724,-0.023313956194684127,0.025080514053166025,0.997560975609756
20250813,501018.SH,0.020522264398741653,0.17724092656578994,0.11578739062348564,0.9943227899432278,-0.000489628902397362,-0.02193221262279732,0.022324646893511324,0.9943227899432278
20250814,501018.SH,0.015869961552551846,0.16221718611902136,0.09783156724779951,0.9943227899432278,-0.0004285256827282893,-0.020960708986490162,0.020444236070663813,0.9943227899432278
20250815,501018.SH,0.0038614703356615026,0.09896525501539477,0.03901844475680705,0.9942857142857143,-0.0004310302979643234,-0.02100139307330584,0.020523890794282185,0.9942857142857143
20250818,501018.SH,0.0007270639741744351,0.05725393052571648,0.01269893555775814,0.9917898193760263,-0.0004323554228531676,-0.021023096579277367,0.020565734511220568,0.9917898193760263
20250819,501018.SH,-0.0002297904805558883,-0.03865596205120547,0.005944502952778596,0.9917898193760263,-0.0004417506567797284,-0.021176487837896718,0.02086043068903931,0.9917898193760263
20250820,501018.SH,-0.0082559792795878,-0.1289212713828517,0.06403892228979335,0.9917898193760263,-0.00044063774889354485,-0.021158203315091217,0.020825858525485352,0.9917898193760263
20250821,501018.SH,-0.030549327194666555,-0.19738777154460363,0.15476808393757735,0.9933774834437086,-0.00042054540887934985,-0.02082324422324011,0.02019596007090929,0.9933774834437086
20250822,501018.SH,-0.044590496988463034,-0.22529411173795755,0.19792127119738845,0.9941666666666665,-0.0003808504593644901,-0.020124292310651937,0.018924911916674114,0.9941666666666665
