日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2020-11-23,,Cash,,,,,293.58,,,,,,,,0
2020-11-24,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.186,133899.4,13230.2,1.069,-,0,-677.4,0股,10.96%,904269.48,14.81%
2020-11-24,基金,10年地债(511270.XSHG),多,3900股,3900股,103.706,404453.4,2262,103.126,-,0,2757.3,0股,0.56%,904269.48,44.73%
2020-11-24,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.281,62502.6,-4745.8,4.606,-,0,146,0股,-7.06%,904269.48,6.91%
2020-11-24,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.755,91246.5,-7038.3,4.045,-,0,-2332.8,0股,-7.16%,904269.48,10.09%
2020-11-24,股票,长江电力(600900.XSHG),多,3800股,3800股,19.71,74898,-2128,20.27,-,0,-722,0股,-2.76%,904269.48,8.28%
2020-11-24,股票,农业银行(601288.XSHG),多,41200股,41200股,3.23,133076,3020,3.157,-,0,-412,0股,2.32%,904269.48,14.72%
2020-11-24,,Cash,,,,,4193.58,,,,,,,,0
2020-11-25,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.181,133334.9,12665.7,1.069,-,0,-564.5,0股,10.5%,899630.88,14.82%
2020-11-25,基金,10年地债(511270.XSHG),多,3900股,3900股,103.15,402285,93.6,103.126,-,0,-2168.4,0股,0.02%,899630.88,44.72%
2020-11-25,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.312,62955.2,-4293.2,4.606,-,0,452.6,0股,-6.38%,899630.88,7%
2020-11-25,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.714,90250.2,-8034.6,4.045,-,0,-996.3,0股,-8.17%,899630.88,10.03%
2020-11-25,股票,长江电力(600900.XSHG),多,3800股,3800股,19.46,73948,-3078,20.27,-,0,-950,0股,-4%,899630.88,8.22%
2020-11-25,股票,农业银行(601288.XSHG),多,41200股,41200股,3.22,132664,2608,3.157,-,0,-412,0股,2.01%,899630.88,14.75%
2020-11-25,,Cash,,,,,4193.58,,,,,,,,0
2020-11-26,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.18,133222,12552.8,1.069,-,0,-112.9,0股,10.4%,903493.98,14.75%
2020-11-26,基金,10年地债(511270.XSHG),多,3900股,3900股,103.24,402636,444.6,103.126,-,0,351,0股,0.11%,903493.98,44.56%
2020-11-26,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.325,63145,-4103.4,4.606,-,0,189.8,0股,-6.1%,903493.98,6.99%
2020-11-26,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.718,90347.4,-7937.4,4.045,-,0,97.2,0股,-8.08%,903493.98,10%
2020-11-26,股票,长江电力(600900.XSHG),多,3800股,3800股,20.23,76874,-152,20.27,-,0,2926,0股,-0.2%,903493.98,8.51%
2020-11-26,股票,农业银行(601288.XSHG),多,41200股,41200股,3.23,133076,3020,3.157,-,0,412,0股,2.32%,903493.98,14.73%
2020-11-26,,Cash,,,,,4193.58,,,,,,,,0
2020-11-27,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.175,132657.5,11988.3,1.069,-,0,-564.5,0股,9.93%,906702.78,14.63%
2020-11-27,基金,10年地债(511270.XSHG),多,3900股,3900股,103.215,402538.5,347.1,103.126,-,0,-97.5,0股,0.09%,906702.78,44.4%
2020-11-27,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.312,62955.2,-4293.2,4.606,-,0,-189.8,0股,-6.38%,906702.78,6.94%
2020-11-27,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.72,90396,-7888.8,4.045,-,0,48.6,0股,-8.03%,906702.78,9.97%
2020-11-27,股票,长江电力(600900.XSHG),多,3800股,3800股,20.31,77178,152,20.27,-,0,304,0股,0.2%,906702.78,8.51%
2020-11-27,股票,农业银行(601288.XSHG),多,41200股,41200股,3.32,136784,6728,3.157,-,0,3708,0股,5.17%,906702.78,15.09%
2020-11-27,,Cash,,,,,4193.58,,,,,,,,0
2020-11-30,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.181,133334.9,12665.7,1.069,-,0,677.4,0股,10.5%,903202.08,14.76%
2020-11-30,基金,10年地债(511270.XSHG),多,3900股,3900股,103.21,402519,327.6,103.126,-,0,-19.5,0股,0.08%,903202.08,44.57%
2020-11-30,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.317,63028.2,-4220.2,4.606,-,0,73,0股,-6.28%,903202.08,6.98%
2020-11-30,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.628,88160.4,-10124.4,4.045,-,0,-2235.6,0股,-10.3%,903202.08,9.76%
2020-11-30,股票,长江电力(600900.XSHG),多,3800股,3800股,20.11,76418,-608,20.27,-,0,-760,0股,-0.79%,903202.08,8.46%
2020-11-30,股票,农业银行(601288.XSHG),多,41200股,41200股,3.29,135548,5492,3.157,-,0,-1236,0股,4.22%,903202.08,15.01%
2020-11-30,,Cash,,,,,4193.58,,,,,,,,0
2020-12-01,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.158,130738.2,10069,1.069,-,0,-2596.7,0股,8.34%,905438.78,14.44%
2020-12-01,基金,10年地债(511270.XSHG),多,3900股,3900股,103.193,402452.7,261.3,103.126,-,0,-66.3,0股,0.06%,905438.78,44.45%
2020-12-01,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.364,63714.4,-3534,4.606,-,0,686.2,0股,-5.26%,905438.78,7.04%
2020-12-01,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.653,88767.9,-9516.9,4.045,-,0,607.5,0股,-9.68%,905438.78,9.8%
2020-12-01,股票,长江电力(600900.XSHG),多,3800股,3800股,20.3,77140,114,20.27,-,0,722,0股,0.15%,905438.78,8.52%
2020-12-01,股票,农业银行(601288.XSHG),多,41200股,41200股,3.36,138432,8376,3.157,-,0,2884,0股,6.44%,905438.78,15.29%
2020-12-01,,Cash,,,,,4193.58,,,,,,,,0
2020-12-02,基金,豆粕ETF华夏(159985.XSHE),多,112900股,112900股,1.14,128706,8036.8,1.069,-,0,-2032.2,0股,6.66%,905287.98,14.22%
2020-12-02,基金,10年地债(511270.XSHG),多,3900股,3900股,103.641,404199.9,2008.5,103.126,-,0,1747.2,0股,0.5%,905287.98,44.65%
2020-12-02,基金,纳指ETF(513100.XSHG),多,14600股,14600股,4.394,64152.4,-3096,4.606,-,0,438,0股,-4.6%,905287.98,7.09%
2020-12-02,基金,黄金ETF(518880.XSHG),多,24300股,24300股,3.707,90080.1,-8204.7,4.045,-,0,1312.2,0股,-8.35%,905287.98,9.95%
2020-12-02,股票,长江电力(600900.XSHG),多,3800股,3800股,20.2,76760,-266,20.27,-,0,-380,0股,-0.35%,905287.98,8.48%
2020-12-02,股票,农业银行(601288.XSHG),多,41200股,41200股,3.33,137196,7140,3.157,-,0,-1236,0股,5.49%,905287.98,15.15%
2020-12-02,,Cash,,,,,4193.58,,,,,,,,0
